strategy,intervals,first_execution,last_exit,ending_value,cumulative_net_return,cagr,annualized_volatility,sharpe_zero_rf,max_drawdown,mean_weekly_gross_traded_weight,sum_transaction_cost_fraction,total_transaction_cost_paid_on_initial_1
forecast_top3,230,2022-03-21 13:30:00+00:00,2026-08-17 13:30:00+00:00,1.4410857397960941,0.4410857397960941,0.08642788747008567,0.15690828165363155,0.6054226647463234,-0.26767903757945555,0.5588082214338265,0.12852589092978006,0.1308940340138048
persistence_top3,230,2022-03-21 13:30:00+00:00,2026-08-17 13:30:00+00:00,1.4908258723349472,0.49082587233494723,0.0948237575735944,0.15459255896317725,0.6620242361405789,-0.22396808493963827,0.5155292875842514,0.11857173614437785,0.13631109809075778
equal_weight_11_weekly,230,2022-03-21 13:30:00+00:00,2026-08-17 13:30:00+00:00,1.6028386325927042,0.6028386325927042,0.11296623142600515,0.14374762822510473,0.8152666414975173,-0.17907423482205975,0.01800587767266191,0.004141351864712238,0.004695495339625098
spy_buy_hold,230,2022-03-21 13:30:00+00:00,2026-08-17 13:30:00+00:00,1.840330583894135,0.8403305838941351,0.1484052243927212,0.16418288954683843,0.9234350020641537,-0.20520915101618153,0.004347826086956522,0.001,0.001
