strategy,gross_ending_value,gross_cagr,net_ending_value,mean_weekly_gross_traded_weight,sum_transaction_cost_fraction
forecast_top3,1.6388272493860103,0.1185868666870944,1.441085739796094,0.5588082214338265,0.12852589092977235
persistence_top3,1.678588462234915,0.12468681370202206,1.4908258723349472,0.5155292875842514,0.11857173614437022
equal_weight_11_weekly,1.6094911602608568,0.11401251058056183,1.6028386325927042,0.018005877672661864,0.004141351864712238
spy_buy_hold,1.8421727566507913,0.14866591539045415,1.840330583894135,0.004347826086956522,0.001
