symbol,decision_timestamp,target_timestamp,horizon,lookback,training_rows,training_last_decision,training_last_target,current_rs_ratio,current_rs_momentum,current_quadrant,predicted_rs_ratio,predicted_rs_momentum,predicted_quadrant
XLK,2026-08-14 23:59:59.999999999+00:00,2026-08-21 23:59:59.999999999+00:00,1,20,386,2026-08-07 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,96.4750811473296,81.07383365898272,Lagging,94.73633193014467,79.03572558627238,Lagging
XLK,2026-08-14 23:59:59.999999999+00:00,2026-08-28 23:59:59.999999999+00:00,2,20,385,2026-07-31 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,96.4750811473296,81.07383365898272,Lagging,89.25678743515884,73.27029392674066,Lagging
XLK,2026-08-14 23:59:59.999999999+00:00,2026-09-11 23:59:59.999999999+00:00,4,20,383,2026-07-17 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,96.4750811473296,81.07383365898272,Lagging,98.32260363224334,92.12793061258178,Lagging
XLK,2026-08-14 23:59:59.999999999+00:00,2026-10-09 23:59:59.999999999+00:00,8,20,379,2026-06-19 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,96.4750811473296,81.07383365898272,Lagging,99.86689535817506,102.41238008816286,Improving
XLP,2026-08-14 23:59:59.999999999+00:00,2026-08-21 23:59:59.999999999+00:00,1,20,386,2026-08-07 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,100.52978830656767,109.67109146765458,Leading,96.51647741101667,103.07326749004784,Improving
XLP,2026-08-14 23:59:59.999999999+00:00,2026-08-28 23:59:59.999999999+00:00,2,20,385,2026-07-31 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,100.52978830656767,109.67109146765458,Leading,99.34869745439637,105.29448504210822,Improving
XLP,2026-08-14 23:59:59.999999999+00:00,2026-09-11 23:59:59.999999999+00:00,4,20,383,2026-07-17 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,100.52978830656767,109.67109146765458,Leading,97.33936304383755,97.9101081736878,Lagging
XLP,2026-08-14 23:59:59.999999999+00:00,2026-10-09 23:59:59.999999999+00:00,8,20,379,2026-06-19 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,100.52978830656767,109.67109146765458,Leading,95.40758997200686,94.7125903590878,Lagging
XLRE,2026-08-14 23:59:59.999999999+00:00,2026-08-21 23:59:59.999999999+00:00,1,20,386,2026-08-07 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,97.67889899099295,101.12517555064514,Improving,98.63298319827263,101.47657513939426,Improving
XLRE,2026-08-14 23:59:59.999999999+00:00,2026-08-28 23:59:59.999999999+00:00,2,20,385,2026-07-31 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,97.67889899099295,101.12517555064514,Improving,103.46199154379495,107.45577067199227,Leading
XLRE,2026-08-14 23:59:59.999999999+00:00,2026-09-11 23:59:59.999999999+00:00,4,20,383,2026-07-17 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,97.67889899099295,101.12517555064514,Improving,100.9279160319099,100.80883922040675,Leading
XLRE,2026-08-14 23:59:59.999999999+00:00,2026-10-09 23:59:59.999999999+00:00,8,20,379,2026-06-19 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,97.67889899099295,101.12517555064514,Improving,97.04455958093197,94.5515794803132,Lagging
XLU,2026-08-14 23:59:59.999999999+00:00,2026-08-21 23:59:59.999999999+00:00,1,20,386,2026-08-07 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,94.28018304699576,110.85885761844214,Improving,91.15023367787703,107.66429085056842,Improving
XLU,2026-08-14 23:59:59.999999999+00:00,2026-08-28 23:59:59.999999999+00:00,2,20,385,2026-07-31 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,94.28018304699576,110.85885761844214,Improving,93.14764581268985,107.35157778917022,Improving
XLU,2026-08-14 23:59:59.999999999+00:00,2026-09-11 23:59:59.999999999+00:00,4,20,383,2026-07-17 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,94.28018304699576,110.85885761844214,Improving,91.7254538796792,99.22370398577672,Lagging
XLU,2026-08-14 23:59:59.999999999+00:00,2026-10-09 23:59:59.999999999+00:00,8,20,379,2026-06-19 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,94.28018304699576,110.85885761844214,Improving,98.07057704123076,100.83207150228097,Improving
XLV,2026-08-14 23:59:59.999999999+00:00,2026-08-21 23:59:59.999999999+00:00,1,20,386,2026-08-07 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,107.79197782557968,109.23628382966469,Leading,106.19942966625703,107.08087046955482,Leading
XLV,2026-08-14 23:59:59.999999999+00:00,2026-08-28 23:59:59.999999999+00:00,2,20,385,2026-07-31 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,107.79197782557968,109.23628382966469,Leading,109.64250565102186,110.44277525890426,Leading
XLV,2026-08-14 23:59:59.999999999+00:00,2026-09-11 23:59:59.999999999+00:00,4,20,383,2026-07-17 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,107.79197782557968,109.23628382966469,Leading,97.28870671686042,87.63366678344067,Lagging
XLV,2026-08-14 23:59:59.999999999+00:00,2026-10-09 23:59:59.999999999+00:00,8,20,379,2026-06-19 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,107.79197782557968,109.23628382966469,Leading,97.3754145663235,90.13046518157849,Lagging
XLY,2026-08-14 23:59:59.999999999+00:00,2026-08-21 23:59:59.999999999+00:00,1,20,386,2026-08-07 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,96.90051232389582,106.9701231124695,Improving,94.79321092546108,102.61265398090224,Improving
XLY,2026-08-14 23:59:59.999999999+00:00,2026-08-28 23:59:59.999999999+00:00,2,20,385,2026-07-31 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,96.90051232389582,106.9701231124695,Improving,94.85883856905913,104.34393322576193,Improving
XLY,2026-08-14 23:59:59.999999999+00:00,2026-09-11 23:59:59.999999999+00:00,4,20,383,2026-07-17 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,96.90051232389582,106.9701231124695,Improving,98.69005624187004,105.8099257634573,Improving
XLY,2026-08-14 23:59:59.999999999+00:00,2026-10-09 23:59:59.999999999+00:00,8,20,379,2026-06-19 23:59:59.999999999+00:00,2026-08-14 23:59:59.999999999+00:00,96.90051232389582,106.9701231124695,Improving,97.96730323685229,101.68360149488848,Improving
