symbol,horizon,hist_gradient_boosting,linear,persistence,rel_hgb_vs_linear
XLB,1,6.318868833740487,4.22195891683277,6.2882214740537075,0.49666753235030936
XLB,2,7.728053524113458,5.754190951247815,8.901475389131186,0.34303042592592514
XLB,4,9.499374505465333,7.926142094643012,13.551220890862911,0.19848652623646634
XLB,8,11.610672454633724,10.867312686246015,21.139902453677408,0.06840327409816105
XLC,1,6.833445864816443,5.051920173465434,6.472235098448677,0.3526432782347284
XLC,2,9.535308211446278,6.367899914700181,8.56689541623707,0.4974023365904656
XLC,4,10.282954605795364,7.928973393998771,10.83453386148175,0.29688347971734386
XLC,8,10.566248933836992,9.539368346658854,13.421816723566272,0.10764660194066211
XLE,1,5.75020020646204,3.7259022649936115,4.797956304545521,0.5433040905252782
XLE,2,7.513756764096975,5.036756537907842,6.930664971698053,0.4917847840265124
XLE,4,9.420430806330481,7.209749211736154,10.27891876037917,0.3066239240327169
XLE,8,10.86317632460897,8.725970562199038,13.884026159742106,0.24492470461318328
XLF,1,5.9544047031497955,4.110199744243175,5.327051979025038,0.44868986269819344
XLF,2,7.63825425533592,5.411783553788071,7.28961989552612,0.4114116315663423
XLF,4,9.750406079955699,7.913704204138635,10.450002699601539,0.23209129737961676
XLF,8,10.878137875199576,10.076360682719633,13.884853275349116,0.07957011640670464
XLI,1,5.888118391707599,3.927503573322352,5.597425405243319,0.4992012818785865
XLI,2,7.956759903361642,5.392487824534418,8.300749127187201,0.475526725746223
XLI,4,10.551459994507711,7.513067165303702,12.666933127038337,0.4044144371869445
XLI,8,13.60150892736805,10.4446273308029,18.25059720767072,0.30224932844228847
XLK,1,6.6655358140530385,4.919433073031056,7.303605653112872,0.354939830484601
XLK,2,8.731929466900176,6.832352629520333,9.616848463330799,0.2780267559921308
XLK,4,12.256066929211825,9.045480395715252,13.728613742884894,0.3549382004097199
XLK,8,14.562346444402884,12.002789071234105,19.387206048083215,0.2132468843681521
XLP,1,7.092619358374685,4.9653060366019,7.190970662080754,0.4284354893920397
XLP,2,8.661208278113008,6.606716191788755,9.735286820311249,0.3109702349372456
XLP,4,10.689605982670736,9.136375385583374,14.607210248880396,0.17000512036077908
XLP,8,12.54139625887456,12.92853120213933,21.220852611644386,-0.029944232427633444
XLRE,1,6.904933525098069,4.459342204777087,6.581354644075763,0.5484197462354723
XLRE,2,8.404459888839817,6.050316263535746,9.441414729435625,0.3890943089193708
XLRE,4,9.416841662508999,8.283019846546487,13.926005011782488,0.13688507778177605
XLRE,8,12.097880366345647,11.706148300254794,21.866000427826673,0.033463788091794955
XLU,1,6.697331790607166,4.5311396899774214,7.0976522113742515,0.47806782594260255
XLU,2,8.964978500926321,6.622959523363813,10.139331369952668,0.35362121258639245
XLU,4,11.44613037430361,9.164447489522894,14.535274001163089,0.24897113409064908
XLU,8,14.520506044805696,15.224876978814681,21.258604903210706,-0.046264474582560666
XLV,1,7.301341288905611,4.950074371306284,7.091032683218172,0.47499628111220615
XLV,2,9.650119383239714,6.675074992094749,9.880166373384219,0.44569452697809275
XLV,4,12.6066743105706,9.156351595193705,15.128325525370828,0.37682287311771834
XLV,8,15.945435243551055,13.339502905528793,24.04763571669083,0.19535453131032243
XLY,1,5.899393178754776,3.5358370384791975,5.572259276467934,0.6684573170521937
XLY,2,7.676959252994115,5.154621768313331,7.918291037828515,0.48933512448695726
XLY,4,11.068690243243562,7.55406150232847,12.332115852943897,0.465263453286916
XLY,8,14.822742839915533,11.558257372396827,19.584746015101945,0.282437513055807
